Description,Winning Probability,Reasoning,Relevant Laws
I was struck while parked in a no-stop area,Defendant Win: 75%,Vehicles must not stop in no-stop zones,Section 57 - No stopping in prohibited areas.
My car was hit while I was making a left turn,Plaintiff Win: 80%,Left-turning vehicles must yield to oncoming traffic,Section 71 - Yield when turning left.
I was involved in an accident while driving with an expired license,Defendant Win: 95%,Driving without a valid license is illegal,Section 42 - Valid driver's license required.
My vehicle was damaged when a car backed into me,Plaintiff Win: 85%,Vehicles reversing must check for oncoming traffic,Section 34 - Yield when reversing.
I was hit while driving on a shared road without caution,Plaintiff Win: 60%,Caution must be taken on shared roads,Section 72 - Shared road regulations.
My car was struck while exiting a parking lot,Defendant Win: 75%,Vehicles exiting parking lots must yield,Section 37 - Yield when exiting parking lots.
I was involved in an accident while driving slowly in the fast lane,Defendant Win: 85%,The fast lane is for faster vehicles,Section 34 - No slow driving in fast lanes.
My car was hit while reversing out of a parking spot,Plaintiff Win: 80%,Drivers must ensure no traffic is approaching when reversing,Section 34 - Yield when reversing.
I was hit while driving at night without headlights on,Defendant Win: 90%,Headlights must be on when driving at night,Section 11 - Lighting requirements.
I was struck by a motorcycle while waiting to turn,Plaintiff Win: 70%,Motorcycles must not overtake in hazardous situations,Section 43(5) - Safe driving regulations.
My car was hit while parked correctly in a designated area,Plaintiff Win: 85%,Drivers must respect designated parking areas,Section 57 - No parking violations.
I was in an accident while driving during poor visibility conditions,Plaintiff Win: 80%,Drivers must use caution in poor visibility,Section 11 - Use headlights in low visibility.
My vehicle was damaged while parked legally,Plaintiff Win: 90%,Legal parking must be respected by all drivers,Section 57 - Parking regulations.
My car was hit while waiting at a red light,Plaintiff Win: 90%,Drivers must stop at red lights,Section 22 - Must obey traffic signals.
I was struck by a vehicle while crossing at a crosswalk,Plaintiff Win: 85%,Vehicles must yield to pedestrians at crosswalks,Section 21 - Yield to pedestrians.
My car was damaged by a delivery truck while it was parked,Plaintiff Win: 80%,Delivery vehicles must ensure safety when maneuvering,Section 34 - Vehicles must drive with caution.
I hit a cyclist while making a right turn,Defendant Win: 75%,Cyclists must follow traffic rules and ride safely,Section 80 - Bicycles must comply with road rules.
I was involved in an accident while driving without a valid insurance policy,Defendant Win: 95%,Valid insurance is mandatory for driving,Motor Vehicle Accident Victims Protection Act 1992 - Compulsory insurance required.
My car was hit while I was parked in a no-parking zone during a festival,Defendant Win: 85%,Parking regulations must be observed even during events,Section 57 - No parking in prohibited areas.
I was hit by a car while walking my dog on a leash,Plaintiff Win: 80%,Drivers must exercise caution around animals,Section 43 - Drive safely near animals.
My vehicle was damaged while I was waiting for a friend outside a store,Plaintiff Win: 70%,Waiting vehicles must not obstruct traffic,Section 57 - No obstruction allowed.
I was struck while crossing the street at night without reflective clothing,Defendant Win: 80%,Pedestrians must wear visible clothing at night,Section 108 - Visibility for pedestrians.
My car was hit while parked in a motorcycle parking area,Plaintiff Win: 85%,Vehicles must respect designated motorcycle parking,Section 57 - Parking regulations.
I hit a pedestrian while driving in a rainstorm,Defendant Win: 75%,Drivers must be cautious in adverse weather conditions,Section 11 - Use headlights in low visibility.
My vehicle was damaged by a car that fled the scene after hitting me,Plaintiff Win: 90%,Hit-and-run is a serious offense,Section 78 - Stopping after an accident is mandatory.
I was involved in an accident while not using my turn signals,Defendant Win: 90%,Not signaling is considered reckless driving,Section 36 - Must signal when changing lanes.
My car was struck while I was legally parked in front of my house,Plaintiff Win: 85%,Legal parking must be respected by all drivers,Section 57 - No parking violations.
I was hit while driving through a flooded area without precaution,Defendant Win: 80%,Drivers must exercise caution in flooded areas,Section 34 - Drive safely in hazardous conditions.
My car was damaged while I was stopped to let a pedestrian cross,Plaintiff Win: 90%,Stopping to allow crossing is required by law,Section 21 - Yield to pedestrians.
I was in an accident while driving without headlights during twilight,Defendant Win: 85%,Headlights must be used during low light conditions,Section 11 - Lighting regulations.
My vehicle was hit by another car while I was waiting for a green light,Plaintiff Win: 80%,Drivers must stop at red lights and yield at intersections,Section 22 - Traffic signals must be obeyed.
I was involved in a collision while changing lanes in a construction zone,Defendant Win: 90%,Drivers must be cautious in construction zones,Section 75 - Obey construction zone signs.
My car was hit while I was parked at a fast-food restaurant,Defendant Win: 70%,Parking regulations must be observed in commercial areas,Section 57 - No parking violations.
I was struck while reversing out of a parking space,Defendant Win: 80%,Drivers must check for oncoming traffic when reversing,Section 34 - Yield when reversing.
My vehicle was damaged while parked on the street during a parade,Defendant Win: 75%,Parking regulations apply during events,Section 57 - No parking violations.
I was in an accident while driving in a designated bike lane,Defendant Win: 85%,Vehicles must not drive in bike lanes,Section 80 - Compliance with bike lane regulations.
My car was hit while waiting to turn left at a busy intersection,Plaintiff Win: 90%,Left-turning vehicles must yield to oncoming traffic,Section 71 - Yield when turning left.
I was struck by a car while walking on the sidewalk,Plaintiff Win: 85%,Vehicles must respect pedestrian rights on sidewalks,Section 21 - Yield to pedestrians.
My vehicle was damaged while parked outside during a heavy storm,Plaintiff Win: 70%,Drivers must secure their vehicles during inclement weather,Section 34 - Drive safely in hazardous conditions.
I was involved in an accident while driving with a faulty brake light,Defendant Win: 90%,It is illegal to drive with malfunctioning vehicle lights,Section 11 - Vehicle lighting requirements.
My car was hit while parked near a fire station,Plaintiff Win: 80%,Vehicles must not obstruct access to emergency services,Section 57 - No parking near emergency facilities.
I was struck while riding a scooter on the road,Defendant Win: 85%,Scooters must follow the same traffic rules as other vehicles,Section 80 - Compliance with traffic regulations.
My vehicle was damaged while parked in a designated loading zone,Defendant Win: 75%,Loading zones must be respected by all vehicles,Section 57 - No parking violations.
I was hit while driving in a roundabout without yielding,Defendant Win: 80%,Vehicles in roundabouts have the right of way,Section 72 - Yield to vehicles in roundabouts.
My car was hit while I was parked on the side of the road during the day,Defendant Win: 70%,Vehicles must park legally and safely,Section 57 - No parking violations.
I was struck while walking across the street outside of a crosswalk,Defendant Win: 75%,Pedestrians must use designated crossing areas,Section 105 - No jaywalking.
My vehicle was damaged while I was driving in a residential area,Plaintiff Win: 85%,Drivers must reduce speed in residential areas,Section 25 - Speed regulations in residential zones.
I hit another vehicle while merging onto a highway,Defendant Win: 90%,Vehicles must yield when merging onto highways,Section 34 - Yield when merging.
My car was struck by a vehicle that failed to stop at a stop sign,Plaintiff Win: 90%,Running a stop sign is a serious violation,Section 22 - Obey stop signs.
I was involved in an accident while changing lanes without checking mirrors,Defendant Win: 85%,Drivers must check mirrors before changing lanes,Section 36 - Safety regulations for lane changes.
My vehicle was hit while parked in a designated motorcycle area,Plaintiff Win: 80%,Vehicles must respect motorcycle parking regulations,Section 57 - No parking violations.
I was struck while riding a bicycle without a helmet,Defendant Win: 90%,Wearing a helmet while riding is mandatory,Section 43 - Helmet regulations
My car was damaged while parked in a no-stopping zone,Defendant Win: 75%,Vehicles must not stop in no-stopping zones,Section 57 - No stopping violations.
I was in an accident while driving with an expired vehicle registration,Defendant Win: 95%,Valid vehicle registration is required,Section 42 - Vehicle registration regulations.
My vehicle was hit while I was parked at a rest area,Plaintiff Win: 80%,Vehicles must respect the rules of rest areas,Section 57 - No parking violations.
I was struck while walking with my child near a busy road,Plaintiff Win: 85%,Drivers must take extra caution near children,Section 43 - Drive safely around children.
My car was damaged while parked during a street fair,Defendant Win: 70%,Parking regulations apply during events,Section 57 - No parking violations.
I was involved in an accident while driving cautiously in the rain,Plaintiff Win: 80%,Drivers must adjust their driving to weather conditions,Section 11 - Use headlights in poor visibility.
My vehicle was hit while I was stopped to let others merge,Plaintiff Win: 90%,Stopping to assist merging traffic is required,Section 34 - Yield when merging.
I was struck by a vehicle while jogging on the road,Plaintiff Win: 75%,Vehicles must yield to pedestrians and joggers,Section 21 - Yield to pedestrians.
My car was damaged while parked on a street with heavy traffic,Plaintiff Win: 85%,Drivers must exercise caution in high-traffic areas,Section 34 - Drive safely in crowded conditions.
I was hit while crossing a busy road without looking,Defendant Win: 80%,Pedestrians must look before crossing,Section 105 - No jaywalking.
My vehicle was damaged while parked legally at work,Plaintiff Win: 90%,Legal parking must be respected by all drivers,Section 57 - No parking violations.
I was reversing out of a parking space and collided with another vehicle driving past,Defendant Win: 75%,The reversing driver must ensure the way is clear before backing out.,Section 50 - Yield when reversing.
A pedestrian was crossing outside a crosswalk and was hit by a turning car.,Defendant Win: 60%,"Pedestrians must use designated crossings, but drivers must also be vigilant.",Section 105 - Pedestrians must cross at designated crossings
A cyclist was riding against traffic and collided with a vehicle making a right turn.,Defendant Win: 80%,Cyclists must follow the same direction as traffic for safety,Section 78 - Bicycles must travel in the correct direction.
A driver ran a stop sign and hit another car passing through the intersection.,Defendant Win: 95%,Running a stop sign is a major violation and clear fault.,Section 22 - Vehicles must stop at red lights and stop signs.
My car was sideswiped by a bus that was merging from a bus stop without signaling.,Plaintiff Win: 85%,Drivers must yield to traffic when merging from a stop.,Section 46 - Vehicles merging into traffic must yield.
A motorbike sped past on the right while I was making a legal U-turn and crashed into my car.,Plaintiff Win: 70%,Overtaking a turning vehicle on the right is dangerous and usually illegal.,Section 45 - Overtaking must be done safely.
"A parked car opened its door, and a passing cyclist crashed into it.",Plaintiff Win: 90%,Drivers must check before opening doors into traffic.,Section 57 - Do not open vehicle doors if unsafe.
A pedestrian ran across a highway and was struck by a vehicle at night.,Defendant Win: 85%,Highways are not designated for pedestrian crossing.,Section 108 - Pedestrians must not cross highways.
A car in the left lane suddenly cut across multiple lanes to exit and caused an accident.,Plaintiff Win: 95%,Unsafe lane changes are a primary cause of accidents.,Section 37 - Lane changes must be done safely.
A delivery truck parked illegally on a curve blocked visibility and caused a collision.,Plaintiff Win: 80%,Illegally parked vehicles contribute to unsafe conditions.,Section 57 - Parking must not obstruct traffic.
"A vehicle suddenly braked in the middle of the highway, causing a chain collision.",Defendant Win: 70%,Sudden braking without reason on highways is dangerous and often prohibited.,Section 43 - Vehicles must not brake suddenly without reason.
"A taxi dropped off a passenger in the middle of a busy road, leading to a collision.",Plaintiff Win: 85%,Stopping in a dangerous location violates traffic laws.,Section 57 - Stopping in prohibited areas is illegal.
A motorcycle was riding between lanes of slow-moving traffic and hit a car changing lanes.,Defendant Win: 75%,Lane-splitting is illegal in Thailand and increases accident risk.,Section 35 - Motorcycles must follow standard lane rules.
A driver made an illegal U-turn at a no-U-turn intersection and was hit by oncoming traffic.,Defendant Win: 95%,Making a U-turn in a restricted area is illegal and hazardous.,Section 21 - Follow traffic signs and regulations.
"A car failed to yield to an emergency vehicle, causing a delay in response to an accident.",Defendant Win: 90%,Vehicles must yield to emergency services.,Section 76 - Drivers must give way to emergency vehicles.
My car was hit while waiting at a red light.,Plaintiff Win: 90%,Drivers must stop at red lights.,Section 22 - Must obey traffic signals.
I was struck by a vehicle while crossing at a crosswalk.,Plaintiff Win: 85%,Vehicles must yield to pedestrians at crosswalks.,Section 21 - Yield to pedestrians.
My car was damaged by a delivery truck while it was parked.,Plaintiff Win: 80%,Delivery vehicles must ensure safety when maneuvering.,Section 34 - Vehicles must drive with caution.
I hit a cyclist while making a right turn.,Defendant Win: 75%,Cyclists must follow traffic rules and ride safely.,Section 80 - Bicycles must comply with road rules.
I was involved in an accident while driving without a valid insurance policy.,Defendant Win: 95%,Valid insurance is mandatory for driving.,Motor Vehicle Accident Victims Protection Act 1992 - Compulsory insurance required.
My car was hit while I was parked in a no-parking zone during a festival.,Defendant Win: 85%,Parking regulations must be observed even during events.,Section 57 - No parking in prohibited areas.
I was hit by a car while walking my dog on a leash.,Plaintiff Win: 80%,Drivers must exercise caution around animals.,Section 43 - Drive safely near animals.
My vehicle was damaged while I was waiting for a friend outside a store.,Plaintiff Win: 70%,Waiting vehicles must not obstruct traffic.,Section 57 - No obstruction allowed.
I was struck while crossing the street at night without reflective clothing.,Defendant Win: 80%,Pedestrians must wear visible clothing at night.,Section 108 - Visibility for pedestrians.
My car was hit while parked in a motorcycle parking area.,Plaintiff Win: 85%,Vehicles must respect designated motorcycle parking.,Section 57 - Parking regulations.
I hit a pedestrian while driving in a rainstorm.,Defendant Win: 75%,Drivers must be cautious in adverse weather conditions.,Section 11 - Use headlights in low visibility.
My vehicle was damaged by a car that fled the scene after hitting me.,Plaintiff Win: 90%,Hit-and-run is a serious offense.,Section 78 - Stopping after an accident is mandatory.
I was involved in an accident while not using my turn signals.,Defendant Win: 90%,Not signaling is considered reckless driving.,Section 36 - Must signal when changing lanes.
My car was struck while I was legally parked in front of my house.,Plaintiff Win: 85%,Legal parking must be respected by all drivers.,Section 57 - No parking violations.
I was hit while driving through a flooded area without precaution.,Defendant Win: 80%,Drivers must exercise caution in flooded areas.,Section 34 - Drive safely in hazardous conditions.
My car was damaged while I was stopped to let a pedestrian cross.,Plaintiff Win: 90%,Stopping to allow crossing is required by law.,Section 21 - Yield to pedestrians.
I was in an accident while driving without headlights during twilight.,Defendant Win: 85%,Headlights must be used during low light conditions.,Section 11 - Lighting regulations.
My vehicle was hit by another car while I was waiting for a green light.,Plaintiff Win: 80%,Drivers must stop at red lights and yield at intersections.,Section 22 - Traffic signals must be obeyed.
I was involved in a collision while changing lanes in a construction zone.,Defendant Win: 90%,Drivers must be cautious in construction zones.,Section 75 - Obey construction zone signs.
My car was hit while I was parked at a fast-food restaurant.,Defendant Win: 70%,Parking regulations must be observed in commercial areas.,Section 57 - No parking violations.
I was struck while reversing out of a parking space.,Defendant Win: 80%,Drivers must check for oncoming traffic when reversing.,Section 34 - Yield when reversing.
My vehicle was damaged while parked on the street during a parade.,Defendant Win: 75%,Parking regulations apply during events.,Section 57 - No parking violations.
I was in an accident while driving in a designated bike lane.,Defendant Win: 85%,Vehicles must not drive in bike lanes.,Section 80 - Compliance with bike lane regulations.
My car was hit while waiting to turn left at a busy intersection.,Plaintiff Win: 90%,Left-turning vehicles must yield to oncoming traffic.,Section 71 - Yield when turning left.
I was struck by a car while walking on the sidewalk.,Plaintiff Win: 85%,Vehicles must respect pedestrian rights on sidewalks.,Section 21 - Yield to pedestrians.
My vehicle was damaged while parked outside during a heavy storm.,Plaintiff Win: 70%,Drivers must secure their vehicles during inclement weather.,Section 34 - Drive safely in hazardous conditions.
I was involved in an accident while driving with a faulty brake light.,Defendant Win: 90%,It is illegal to drive with malfunctioning vehicle lights.,Section 11 - Vehicle lighting requirements.
My car was hit while parked near a fire station.,Plaintiff Win: 80%,Vehicles must not obstruct access to emergency services.,Section 57 - No parking near emergency facilities.
I was struck while riding a scooter on the road.,Defendant Win: 85%,Scooters must follow the same traffic rules as other vehicles.,Section 80 - Compliance with traffic regulations.
My vehicle was damaged while parked in a designated loading zone.,Defendant Win: 75%,Loading zones must be respected by all vehicles.,Section 57 - No parking violations.
I was hit while driving in a roundabout without yielding.,Defendant Win: 80%,Vehicles in roundabouts have the right of way.,Section 72 - Yield to vehicles in roundabouts.
My car was hit while I was parked on the side of the road during the day.,Defendant Win: 70%,Vehicles must park legally and safely.,Section 57 - No parking violations.
I was struck while walking across the street outside of a crosswalk.,Defendant Win: 75%,Pedestrians must use designated crossing areas.,Section 105 - No jaywalking.
My vehicle was damaged while I was driving in a residential area.,Plaintiff Win: 85%,Drivers must reduce speed in residential areas.,Section 25 - Speed regulations in residential zones.
I hit another vehicle while merging onto a highway.,Defendant Win: 90%,Vehicles must yield when merging onto highways.,Section 34 - Yield when merging.
My car was struck by a vehicle that failed to stop at a stop sign.,Plaintiff Win: 90%,Running a stop sign is a serious violation.,Section 22 - Obey stop signs.
I was involved in an accident while changing lanes without checking mirrors.,Defendant Win: 85%,Drivers must check mirrors before changing lanes.,Section 36 - Safety regulations for lane changes.
My vehicle was hit while parked in a designated motorcycle area.,Plaintiff Win: 80%,Vehicles must respect motorcycle parking regulations.,Section 57 - No parking violations.
I was struck while riding a bicycle without a helmet.,Defendant Win: 90%,Wearing a helmet while riding is mandatory.,Section 43 - Helmet regulations.
My car was damaged while parked in a no-stopping zone.,Defendant Win: 75%,Vehicles must not stop in no-stopping zones.,Section 57 - No stopping violations.
I was in an accident while driving with an expired vehicle registration.,Defendant Win: 95%,Valid vehicle registration is required.,Section 42 - Vehicle registration regulations.
My vehicle was hit while I was parked at a rest area.,Plaintiff Win: 80%,Vehicles must respect the rules of rest areas.,Section 57 - No parking violations.
I was struck while walking with my child near a busy road.,Plaintiff Win: 85%,Drivers must take extra caution near children.,Section 43 - Drive safely around children.
My car was damaged while parked during a street fair.,Defendant Win: 70%,Parking regulations apply during events.,Section 57 - No parking violations.
I was involved in an accident while driving cautiously in the rain.,Plaintiff Win: 80%,Drivers must adjust their driving to weather conditions.,Section 11 - Use headlights in poor visibility.
My vehicle was hit while I was stopped to let others merge.,Plaintiff Win: 90%,Stopping to assist merging traffic is required.,Section 34 - Yield when merging.
I was struck by a vehicle while jogging on the road.,Plaintiff Win: 75%,Vehicles must yield to pedestrians and joggers.,Section 21 - Yield to pedestrians.
My car was damaged while parked on a street with heavy traffic.,Plaintiff Win: 85%,Drivers must exercise caution in high-traffic areas.,Section 34 - Drive safely in crowded conditions.
I was hit while crossing a busy road without looking.,Defendant Win: 80%,Pedestrians must look before crossing.,Section 105 - No jaywalking.
My vehicle was damaged while parked legally at work.,Plaintiff Win: 90%,Legal parking must be respected by all drivers.,Section 57 - No parking violations.
I was rear-ended while waiting at a stoplight.,Plaintiff Win: 90%,Drivers must maintain a safe following distance.,Section 34 - Maintain safe distance.
I collided with a parked car while distracted by my phone.,Defendant Win: 85%,Driving while distracted is considered negligent.,Section 36 - Drive attentively.
I was hit by a car while crossing the street with the signal.,Plaintiff Win: 80%,Pedestrians have the right of way when crossing with the signal.,Section 21 - Yield to pedestrians.
I was involved in an accident while driving without a valid license.,Defendant Win: 95%,Driving without a license is illegal.,Section 12 - Driving without a valid license.
My car was damaged while parked in a designated spot for the disabled.,Defendant Win: 90%,Vehicles must not occupy designated disabled parking without a permit.,Section 57 - Disabled parking regulations.
I was struck by a vehicle while riding my bicycle on the road.,Plaintiff Win: 75%,Drivers must yield to cyclists on the roadway.,Section 80 - Bicycles must comply with road rules.
I hit a pedestrian who suddenly walked into the road.,Defendant Win: 80%,Pedestrians must exercise caution when crossing.,Section 105 - No jaywalking.
My car was damaged by a shopping cart in a parking lot.,Defendant Win: 70%,Drivers must be cautious in parking lots.,Section 34 - Drive safely in crowded conditions.
I was hit by a car while walking on the sidewalk.,Plaintiff Win: 85%,Vehicles must respect pedestrian rights on sidewalks.,Section 21 - Yield to pedestrians.
My vehicle was damaged while parked in a loading zone.,Defendant Win: 75%,Loading zones must be respected by all vehicles.,Section 57 - No parking violations.
I was involved in a collision while making an illegal U-turn.,Defendant Win: 90%,Illegal U-turns are considered reckless driving.,Section 36 - U-turn regulations.
I hit a car that was reversing without looking.,Defendant Win: 80%,Drivers must check their surroundings when reversing.,Section 34 - Yield when reversing.
I was hit while jogging on the road during early morning.,Plaintiff Win: 75%,Drivers must exercise caution around joggers.,Section 21 - Yield to pedestrians.
My car was damaged while parked on the street during a festival.,Defendant Win: 70%,Parking regulations apply during events.,Section 57 - No parking violations.
I was struck by a car while walking my dog at night.,Plaintiff Win: 80%,Drivers must exercise caution around animals.,Section 43 - Drive safely near animals.
I collided with another vehicle while merging onto a freeway.,Defendant Win: 85%,Vehicles must yield when merging onto freeways.,Section 34 - Yield when merging.
I was involved in an accident due to a blown tire.,Defendant Win: 90%,Drivers must maintain their vehicle in safe condition.,Section 11 - Vehicle maintenance regulations.
I was hit while crossing at a crosswalk without looking.,Defendant Win: 80%,Pedestrians must look before crossing.,Section 105 - No jaywalking.
My car was damaged while parked overnight on the street.,Plaintiff Win: 70%,Legal parking must be respected by all drivers.,Section 57 - No parking violations.
I was struck by a driver who failed to yield at an intersection.,Plaintiff Win: 85%,Drivers must yield at intersections.,Section 22 - Obey traffic signals.
I hit a cyclist while making a left turn.,Defendant Win: 75%,Cyclists must be visible and cautious.,Section 80 - Bicycles must comply with road rules.
I was involved in an accident while using my phone.,Defendant Win: 95%,Using a phone while driving is illegal.,Section 36 - Distracted driving laws.
My vehicle was damaged while parked in a fire lane.,Defendant Win: 85%,No stopping or parking in fire lanes.,Section 57 - Fire lane regulations.
I was struck by a car while walking in a parking lot.,Plaintiff Win: 80%,Drivers must exercise caution in parking lots.,Section 34 - Drive safely in crowded conditions.
I collided with another vehicle while changing lanes without signaling.,Defendant Win: 90%,Failing to signal is considered reckless driving.,Section 36 - Must signal when changing lanes.
I was involved in an accident while driving over the speed limit.,Defendant Win: 95%,Speeding is a serious traffic violation.,Section 25 - Speed regulations.
My car was hit while parked in a designated carpool area.,Plaintiff Win: 80%,Vehicles must respect designated parking rules.,Section 57 - No parking violations.
I was struck while riding a bicycle without lights at night.,Defendant Win: 85%,Bicycles must have lights when riding at night.,Section 43 - Bicycle lighting regulations.
I hit another car while merging into traffic without checking my blind spot.,Defendant Win: 90%,Drivers must check blind spots before changing lanes.,Section 34 - Safety regulations for lane changes.
My vehicle was damaged while stopped at a stop sign.,Plaintiff Win: 75%,Stopping at stop signs is required by law.,Section 22 - Stop at stop signs.
I was involved in a collision while driving under the influence.,Defendant Win: 100%,Driving under the influence is illegal.,Section 10 - DUI regulations.
My car was damaged while parked in a residential area.,Plaintiff Win: 70%,Drivers must respect parking regulations in residential areas.,Section 57 - No parking violations.
I was struck while crossing the street at night without reflective gear.,Defendant Win: 80%,Pedestrians must wear visible clothing at night.,Section 108 - Visibility for pedestrians.
I hit a car that was parked illegally.,Defendant Win: 75%,Drivers must avoid collisions regardless of parking status.,Section 57 - No parking violations.
My vehicle was damaged while parked in a construction zone.,Defendant Win: 85%,Parking regulations apply in construction zones.,Section 75 - Obey construction zone signs.
I was rear-ended while stopped to let a pedestrian cross.,Plaintiff Win: 90%,Stopping for pedestrians is required by law.,Section 21 - Yield to pedestrians.
I hit a car that suddenly changed lanes in front of me.,Defendant Win: 80%,Drivers must signal and check blind spots when changing lanes.,Section 36 - Lane change regulations.
I was struck by a vehicle while crossing the street with my child.,Plaintiff Win: 85%,Drivers must exercise extra caution around children.,Section 43 - Drive safely around children.
My car was damaged by a flying object during a storm.,Plaintiff Win: 70%,Drivers must take precautions during severe weather.,Section 34 - Drive safely in hazardous conditions.
I was involved in an accident while driving with a suspended license.,Defendant Win: 95%,Driving with a suspended license is illegal.,Section 12 - Driving without a valid license.
I was hit while riding a scooter against traffic.,Defendant Win: 90%,Scooters must follow the same traffic rules as bicycles.,Section 80 - Compliance with road rules.
My vehicle was damaged while parked in front of a fire hydrant.,Defendant Win: 90%,Parking in front of a fire hydrant is illegal.,Section 57 - Fire hydrant regulations.
I was struck by a car while jogging on the sidewalk.,Defendant Win: 80%,"Jogging on the sidewalk is allowed, but drivers must be cautious.",Section 21 - Yield to pedestrians.
I hit another vehicle while trying to parallel park.,Defendant Win: 75%,Drivers must ensure the area is clear before parking.,Section 57 - Parking regulations.
My car was damaged while parked in a school zone.,Plaintiff Win: 80%,Vehicles must observe school zone regulations.,Section 25 - Speed regulations in school zones.
I was involved in an accident while driving a company vehicle without permission.,Defendant Win: 95%,Unauthorized use of a vehicle is illegal.,Section 12 - Driving without authorization.
I collided with a vehicle that ran a red light.,Plaintiff Win: 90%,Running a red light is a serious offense.,Section 22 - Obey traffic signals.
My car was hit while parked at an airport parking lot.,Plaintiff Win: 75%,Vehicles must respect parking regulations in airport lots.,Section 57 - Airport parking regulations.
I was struck while walking in a crosswalk during a red light.,Defendant Win: 80%,Pedestrians must obey traffic signals.,Section 105 - No jaywalking.
I hit a car while merging onto a highway without signaling.,Defendant Win: 90%,Failing to signal is considered reckless driving.,Section 36 - Must signal when merging.
My vehicle was damaged while parked in a no-stopping zone.,Defendant Win: 85%,Stopping in no-stopping zones is illegal.,Section 57 - No stopping violations.
I was hit while riding my bicycle without a helmet.,Defendant Win: 80%,Wearing a helmet while cycling is mandatory.,Section 43 - Helmet regulations.
I was involved in an accident while driving with an expired inspection sticker.,Defendant Win: 90%,Driving with an expired inspection is illegal.,Section 11 - Vehicle inspection regulations.
My car was damaged while parked in a construction area.,Defendant Win: 75%,Parking regulations apply in construction zones.,Section 75 - Obey construction zone signs.
I was struck by a driver who failed to yield while I was turning left.,Plaintiff Win: 85%,Drivers must yield to oncoming traffic when turning left.,Section 71 - Yield when turning left.
I collided with a vehicle that stopped suddenly in front of me.,Defendant Win: 80%,Drivers must maintain a safe following distance.,Section 34 - Maintain safe distance.
I was hit while walking on the road after dark without reflective clothing.,Defendant Win: 85%,Pedestrians must wear visible clothing at night.,Section 108 - Visibility for pedestrians.
My vehicle was damaged while parked in a carpool lane.,Defendant Win: 90%,Carpool lanes must be respected by all vehicles.,Section 57 - Carpool lane regulations.
I was involved in an accident while driving too close to a cyclist.,Defendant Win: 75%,Drivers must maintain a safe distance from cyclists.,Section 34 - Drive safely near cyclists.
I was struck while crossing the street during a parade.,Plaintiff Win: 80%,Drivers must exercise caution during public events.,Section 21 - Yield to pedestrians.
My car was hit while parked at a shopping mall.,Plaintiff Win: 75%,Drivers must respect parking regulations in commercial areas.,Section 57 - No parking violations.
I was hit while riding a motorcycle without proper gear.,Defendant Win: 90%,Wearing safety gear while riding is mandatory.,Section 43 - Motorcycle safety regulations.
I collided with a vehicle that was driving in reverse without warning.,Defendant Win: 80%,Drivers must check their surroundings when reversing.,Section 34 - Yield when reversing.
I was hit while crossing the street outside of a crosswalk.,Defendant Win: 85%,Pedestrians must use designated crossing areas.,Section 105 - No jaywalking.
My vehicle was damaged while parked in a taxi stand.,Defendant Win: 90%,Parking regulations must be observed in taxi stands.,Section 57 - Taxi stand regulations.
I was involved in an accident while speeding to avoid missing an exit.,Defendant Win: 95%,Speeding is illegal regardless of circumstances.,Section 25 - Speed regulations.
My car was struck while parked in a residential driveway.,Plaintiff Win: 75%,Legal parking in a driveway must be respected.,Section 57 - No parking violations.
I was struck while walking my dog on a leash in a parking lot.,Plaintiff Win: 80%,Drivers must exercise caution around pedestrians and animals.,Section 21 - Yield to pedestrians.
I was rear-ended while stopped at a red light.,Plaintiff Win: 90%,Drivers are required to stop at red lights.,Section 22 - Obey traffic signals.
I was struck by a vehicle while crossing at a crosswalk with a green light.,Plaintiff Win: 85%,Pedestrians have the right of way in crosswalks.,Section 21 - Yield to pedestrians.
My car was hit while parked in front of my house.,Plaintiff Win: 75%,Legal parking must be respected.,Section 57 - No parking violations.
I collided with another vehicle while changing lanes without signaling.,Defendant Win: 80%,Failing to signal is considered negligent.,Section 36 - Must signal when changing lanes.
I was hit by a car while riding my bicycle at night without lights.,Defendant Win: 90%,Bicycles must have lights when riding at night.,Section 43 - Bicycle lighting requirements.
My car was damaged while parked in a no-parking zone.,Defendant Win: 95%,Parking in restricted areas is illegal.,Section 57 - No parking in restricted zones.
I was struck while crossing the street outside of a crosswalk.,Defendant Win: 80%,Pedestrians must use designated crossing areas.,Section 105 - No jaywalking.
I hit a pedestrian who suddenly stepped into the road.,Defendant Win: 75%,Pedestrians must exercise caution when crossing.,Section 105 - No jaywalking.
I was involved in an accident while driving under the influence.,Defendant Win: 100%,Driving under the influence is illegal.,Section 10 - DUI regulations.
My vehicle was damaged while parked in a construction zone.,Defendant Win: 85%,Parking regulations apply in construction zones.,Section 75 - Obey construction zone signs.
I was hit while driving in a roundabout without yielding.,Defendant Win: 90%,Vehicles in roundabouts have the right of way.,Section 72 - Yield to vehicles in roundabouts.
I collided with a car that failed to stop at a stop sign.,Plaintiff Win: 90%,Running a stop sign is a serious offense.,Section 22 - Stop at stop signs.
My car was hit while parked in a designated loading zone.,Defendant Win: 80%,Loading zones are not for general parking.,Section 57 - No parking in loading zones.
I was involved in an accident while driving with an expired license.,Defendant Win: 95%,Driving with an expired license is illegal.,Section 12 - Driving without a valid license.
I was struck by a vehicle while walking on the sidewalk.,Plaintiff Win: 85%,Drivers must yield to pedestrians on sidewalks.,Section 21 - Yield to pedestrians.
